Date,Direct,Regular,,
31-3-2025,85.8001,78.8834,,
28-3-2025,85.8371,78.922,,
27-3-2025,86.4471,79.4843,,
26-3-2025,86.3858,79.4295,,
25-3-2025,86.9378,79.9385,,
24-3-2025,86.9302,79.933,,
21-3-2025,85.8483,78.9428,,
20-3-2025,85.2293,78.3751,,
19-3-2025,84.7678,77.9522,,
18-3-2025,84.2963,77.52,,
17-03-2025,83.7786,77.0455,,
13-03-2025,83.0488,76.3801,,
12-03-2025,83.5579,76.8498,,
11-03-2025,83.2603,76.5775,,
10-03-2025,83.337,76.6495,,
07-03-2025,83.8166,77.0951,,
06-03-2025,83.8674,77.1432,,
05-03-2025,83.7353,77.0232,,
04-03-2025,82.6843,76.0579,,
03-03-2025,82.891,76.2495,,
28-02-2025,83.4913,76.8061,,
27-02-2025,84.1972,77.4569,,
25-02-2025,84.2928,77.5478,,
24-02-2025,84.5628,77.7977,,
21-02-2025,85.1573,78.3492,,
20-02-2025,85.9271,79.0589,,
19-02-2025,85.7517,78.899,,
18-02-2025,85.8927,79.0303,,
17-02-2025,85.972,79.1047,,
14-02-2025,85.811,78.9611,,
13-02-2025,86.1979,79.3186,,
12-02-2025,85.9582,79.0996,,
11-02-2025,85.9313,79.0763,,
10-02-2025,86.8683,79.94,,
07-02-2025,87.236,80.283,,
06-02-2025,87.7441,80.7522,,
05-02-2025,87.7154,80.7273,,
04-02-2025,87.9923,80.9837,,
03-02-2025,87.379,80.4208,,
31-01-2025,87.4349,80.4768,,
30-01-2025,86.4548,79.5762,,
29-01-2025,86.3242,79.4575,,
28-01-2025,85.6737,78.8602,,
27-01-2025,85.2707,78.4908,,
24-01-2025,86.1202,79.2773,,
23-01-2025,86.4111,79.5466,,
22-01-2025,86.2997,79.4455,,
21-01-2025,85.7245,78.9175,,
20-01-2025,86.3561,79.5005,,
17-01-2025,85.9236,79.1069,,
16-01-2025,86.0419,79.2173,,
15-01-2025,86.0188,79.1975,,
14-01-2025,85.3784,78.6094,,
13-01-2025,85.0944,78.3494,,
10-01-2025,86.2777,79.4434,,
09-01-2025,86.9907,80.1015,,
08-01-2025,87.3422,80.4267,,
07-01-2025,87.2939,80.3837,,
06-01-2025,87.3465,80.4337,,
03-01-2025,88.499,81.4997,,
02-01-2025,89.0106,81.9723,,
01-01-2025,87.9456,80.9931,,
31-12-2024,87.673,80.7436,,
30-12-2024,87.9604,81.0098,,
27-12-2024,87.6015,80.6839,,
26-12-2024,87.5536,80.6413,,
24-12-2024,87.4392,80.539,,
23-12-2024,87.4345,80.5362,,
20-12-2024,86.8824,80.0322,,
19-12-2024,87.9504,81.0176,,
18-12-2024,88.1624,81.2144,,
17-12-2024,89.1389,82.1155,,
16-12-2024,89.6441,82.5825,,
13-12-2024,89.4327,82.3924,,
12-12-2024,89.1992,82.1788,,
11-12-2024,89.405,82.37,,
10-12-2024,88.9747,81.9752,,
09-12-2024,88.7982,81.8141,,
06-12-2024,88.6888,81.718,,
05-12-2024,88.384,81.4387,,
04-12-2024,87.856,80.9537,,
03-12-2024,87.8085,80.9114,,
02-12-2024,87.2842,80.4299,,
29-11-2024,86.7639,79.955,,
28-11-2024,86.4025,79.6235,,
27-11-2024,86.9216,80.1034,,
26-11-2024,86.9017,80.0866,,
25-11-2024,86.9296,80.1138,,
22-11-2024,86.2203,79.4646,,
21-11-2024,85.2303,78.5537,,
19-11-2024,85.5699,78.8697,,
18-11-2024,85.2443,78.5711,,
14-11-2024,85.7371,79.0313,,
13-11-2024,85.5923,78.8994,,
12-11-2024,86.5864,79.8173,,
11-11-2024,87.2638,80.4432,,
08-11-2024,86.7847,80.0062,,
